t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782481634461,0,0,0.000,6.615,6.607,0.188,0.157,0.129,25.990,851598
1782481634494,0,0,0.006,6.615,6.615,0.188,0.157,0.129,25.990,851631
1782481634527,0,0,0.000,6.615,6.615,0.188,0.157,0.124,25.990,851664
1782481634560,0,0,0.000,6.624,6.607,0.188,0.126,0.129,25.990,851697
1782481634593,0,0,0.000,6.607,6.607,0.188,0.157,0.124,25.904,851730
1782481634626,0,0,0.000,6.607,6.607,0.157,0.157,0.118,25.904,851763
1782481634659,0,0,0.000,6.615,6.607,0.188,0.157,0.129,25.990,851796
1782481634692,0,0,0.000,6.615,6.607,0.188,0.157,0.134,25.990,851829
1782481634725,0,0,0.000,6.615,6.615,0.188,0.157,0.129,25.904,851862
1782481634758,0,0,0.000,6.615,6.599,0.188,0.157,0.129,25.990,851895
1782481634791,0,0,0.000,6.615,6.615,0.188,0.126,0.124,25.904,851928
1782481634824,0,0,0.000,6.615,6.607,0.157,0.157,0.124,25.904,851961
1782481634858,0,0,0.000,6.615,6.607,0.188,0.188,0.129,25.990,851994
1782481634891,0,0,0.000,6.599,6.607,0.188,0.157,0.129,25.904,852027
1782481634926,0,0,0.012,6.624,6.632,0.188,0.157,0.124,25.990,852060
1782481634957,0,0,0.000,6.624,6.607,0.188,0.157,0.124,25.990,852093
1782481634991,0,0,0.000,6.624,6.607,0.188,0.157,0.124,25.990,852126
1782481635028,0,0,0.000,6.624,6.615,0.188,0.157,0.129,25.990,852159
1782481635057,0,0,0.000,6.615,6.615,0.188,0.157,0.124,25.990,852192
1782481635098,0,0,0.000,6.607,6.615,0.188,0.157,0.124,25.990,852225
1782481635127,0,0,0.000,6.615,6.615,0.157,0.157,0.156,25.990,852258
1782481635157,0,0,0.000,6.615,6.607,0.188,0.188,0.129,25.990,852291
1782481635190,0,0,0.000,6.615,6.607,0.188,0.126,0.129,25.904,852324
1782481635224,0,0,0.000,6.615,6.607,0.188,0.157,0.151,25.904,852357
1782481635256,0,0,0.006,6.607,6.607,0.188,0.157,0.129,25.990,852390
