t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782481342825,0,0,0.000,6.615,6.615,0.220,0.157,0.177,25.990,562155
1782481342857,0,0,0.000,6.624,6.615,0.188,0.157,0.161,25.990,562188
1782481342893,0,0,0.000,6.624,6.615,0.188,0.157,0.183,25.990,562221
1782481342924,0,0,0.000,6.624,6.607,0.157,0.157,0.161,25.990,562254
1782481342958,0,0,0.000,6.615,6.615,0.188,0.157,0.183,25.990,562287
1782481342991,0,0,0.000,6.607,6.607,0.188,0.188,0.177,25.990,562320
1782481343024,0,0,0.000,6.615,6.615,0.188,0.157,0.194,25.990,562353
1782481343058,0,0,0.000,6.615,6.615,0.188,0.157,0.177,25.990,562386
1782481343090,0,0,0.000,6.615,6.615,0.188,0.157,0.172,25.990,562419
1782481343124,0,0,0.000,6.615,6.607,0.188,0.157,0.188,25.990,562452
1782481343157,0,0,0.000,6.615,6.615,0.188,0.157,0.183,25.990,562485
1782481343191,0,0,0.000,6.615,6.624,0.188,0.157,0.194,25.990,562518
1782481343223,0,0,0.000,6.624,6.624,0.188,0.157,0.156,25.990,562551
1782481343257,0,0,0.000,6.615,6.615,0.188,0.157,0.183,25.990,562584
1782481343291,0,0,0.000,6.615,6.607,0.157,0.157,0.172,25.990,562617
1782481343324,0,0,0.006,6.624,6.607,0.188,0.188,0.188,25.990,562650
1782481343358,0,0,0.000,6.624,6.624,0.157,0.126,0.183,25.990,562683
1782481343391,0,0,0.000,6.615,6.607,0.188,0.157,0.194,25.990,562716
1782481343423,0,0,0.000,6.607,6.615,0.188,0.157,0.199,25.990,562749
1782481343456,0,0,0.000,6.615,6.615,0.188,0.157,0.177,25.990,562782
1782481343494,0,0,0.000,6.615,6.615,0.157,0.157,0.188,25.990,562815
1782481343522,0,0,0.000,6.624,6.615,0.188,0.157,0.172,25.990,562848
1782481343570,0,0,0.000,6.624,6.615,0.188,0.188,0.188,25.990,562881
1782481343591,0,0,0.000,6.624,6.615,0.220,0.157,0.156,25.990,562914
1782481343626,0,0,0.000,6.615,6.615,0.188,0.157,0.183,25.990,562947
1782481343656,0,0,0.000,6.615,6.607,0.188,0.188,0.194,25.990,562980
1782481343689,0,0,0.000,6.615,6.607,0.188,0.157,0.183,25.990,563013
1782481343722,0,0,0.000,6.624,6.615,0.188,0.157,0.156,25.990,563046
1782481343755,0,0,0.000,6.624,6.615,0.188,0.188,0.183,25.990,563079
1782481343803,0,0,0.000,6.615,6.624,0.188,0.157,0.188,25.990,563112
1782481343831,0,0,0.000,6.624,6.615,0.188,0.126,0.167,25.990,563145
1782481343864,0,0,0.000,6.615,6.615,0.188,0.157,0.177,25.990,563178
1782481343903,0,0,0.000,6.615,6.615,0.188,0.126,0.194,25.990,563211
1782481343930,0,0,0.000,6.624,6.615,0.188,0.157,0.172,25.990,563244
1782481343969,0,0,0.000,6.615,6.615,0.188,0.157,0.188,25.990,563277
1782481343996,0,0,0.006,6.624,6.615,0.157,0.157,0.215,26.077,563310
1782481344037,0,0,0.000,6.624,6.615,0.188,0.157,0.177,25.990,563343
1782481344062,0,0,0.000,6.624,6.607,0.188,0.157,0.172,25.990,563376
1782481344095,0,0,0.000,6.615,6.615,0.188,0.157,0.167,26.077,563409
1782481344129,0,0,0.000,6.615,6.615,0.188,0.126,0.161,25.990,563442
1782481344161,0,0,0.000,6.624,6.615,0.188,0.188,0.134,25.990,563475
1782481344194,0,0,0.000,6.624,6.624,0.157,0.157,0.145,25.990,563508
1782481344227,0,0,0.000,6.624,6.615,0.188,0.157,0.140,25.990,563541
1782481344260,0,0,0.000,6.624,6.615,0.188,0.157,0.129,25.990,563574
1782481344293,0,0,0.000,6.624,6.615,0.188,0.126,0.151,25.990,563607
1782481344326,0,0,0.000,6.615,6.615,0.188,0.157,0.124,25.990,563640
1782481344359,0,0,0.000,6.624,6.615,0.188,0.126,0.156,25.990,563673
1782481344392,0,0,0.006,6.632,6.624,0.188,0.157,0.124,25.990,563706
1782481344428,0,0,0.000,6.624,6.615,0.188,0.188,0.124,25.990,563739
1782481344459,0,0,0.000,6.624,6.615,0.188,0.157,0.156,25.990,563772
1782481344491,0,0,0.000,6.624,6.615,0.157,0.157,0.151,25.990,563805
1782481344524,0,0,0.000,6.615,6.624,0.157,0.157,0.124,25.990,563838
1782481344557,0,0,0.000,6.624,6.624,0.188,0.157,0.129,25.990,563871
1782481344590,0,0,0.000,6.624,6.624,0.188,0.157,0.118,25.990,563904
1782481344623,0,0,0.000,6.632,6.615,0.188,0.157,0.118,25.990,563937
1782481344657,0,0,0.000,6.624,6.615,0.157,0.157,0.129,25.990,563970
1782481344689,0,0,0.000,6.624,6.615,0.157,0.157,0.124,25.990,564003
1782481344742,0,0,0.000,6.624,6.615,0.188,0.157,0.129,25.990,564036
1782481344756,0,0,0.000,6.624,6.624,0.157,0.157,0.129,25.990,564069
1782481344791,0,0,0.000,6.615,6.624,0.188,0.157,0.113,25.990,564102
1782481344826,0,0,0.000,6.624,6.624,0.188,0.157,0.129,25.990,564135
1782481344854,0,0,0.000,6.624,6.615,0.188,0.157,0.161,25.990,564168
1782481344887,0,0,0.000,6.624,6.624,0.188,0.157,0.161,26.077,564201
1782481344924,0,0,0.000,6.624,6.624,0.188,0.157,0.124,25.990,564234
1782481344953,0,0,0.000,6.624,6.624,0.188,0.157,0.124,25.990,564267
1782481344987,0,0,0.000,6.624,6.615,0.188,0.157,0.156,25.990,564300
1782481345019,0,0,0.000,6.624,6.615,0.188,0.157,0.124,25.990,564333
1782481345052,0,0,0.000,6.624,6.624,0.188,0.157,0.124,25.990,564366
1782481345086,0,0,0.000,6.624,6.615,0.188,0.157,0.161,25.990,564399
1782481345119,0,0,0.000,6.624,6.624,0.188,0.157,0.124,25.990,564432
1782481345152,0,0,0.000,6.624,6.624,0.188,0.157,0.124,25.990,564465
1782481345185,0,0,0.000,6.624,6.615,0.188,0.188,0.129,25.990,564498
1782481345222,0,0,0.000,6.624,6.624,0.188,0.157,0.129,25.990,564531
1782481345252,0,0,0.000,6.624,6.615,0.220,0.188,0.134,25.990,564564
1782481345285,0,0,0.000,6.615,6.624,0.188,0.157,0.140,25.990,564597
1782481345318,0,0,0.000,6.624,6.632,0.188,0.157,0.129,25.990,564630
1782481345351,0,0,0.000,6.624,6.615,0.188,0.157,0.124,25.990,564663
1782481345385,0,0,0.000,6.624,6.624,0.188,0.157,0.124,25.990,564696
1782481345418,0,0,0.000,6.624,6.624,0.188,0.157,0.129,25.990,564729
1782481345453,0,0,0.000,6.624,6.615,0.188,0.157,0.129,25.990,564762
1782481345484,0,0,0.000,6.624,6.624,0.188,0.157,0.124,25.990,564795
1782481345518,0,0,0.000,6.624,6.624,0.188,0.126,0.151,25.990,564828
1782481345554,0,0,0.000,6.632,6.615,0.188,0.157,0.140,25.990,564861
1782481345586,0,0,0.000,6.615,6.615,0.157,0.157,0.194,25.990,564894
1782481345621,0,0,0.000,6.624,6.615,0.188,0.157,0.194,25.990,564927
1782481345650,0,0,0.000,6.624,6.615,0.157,0.157,0.199,25.990,564960
1782481345684,0,0,0.000,6.624,6.615,0.220,0.157,0.183,25.990,564993
1782481345717,0,0,0.000,6.624,6.615,0.188,0.157,0.194,25.990,565026
1782481345751,0,0,0.000,6.632,6.607,0.188,0.157,0.194,25.990,565059
1782481345784,0,0,0.000,6.615,6.615,0.188,0.188,0.161,25.990,565092
1782481345817,0,0,0.000,6.615,6.615,0.157,0.157,0.172,25.990,565125
1782481345851,0,0,0.000,6.624,6.607,0.188,0.157,0.177,25.990,565158
1782481345884,0,0,0.000,6.615,6.624,0.188,0.157,0.172,25.990,565191
1782481345917,0,0,0.000,6.615,6.615,0.188,0.157,0.161,25.990,565224
1782481345957,0,0,0.000,6.632,6.615,0.188,0.157,0.151,25.990,565257
1782481345983,0,0,0.000,6.624,6.615,0.188,0.188,0.183,25.990,565290
1782481346016,0,0,0.000,6.615,6.615,0.188,0.188,0.177,25.990,565323
