t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782481272077,0,0,0.000,6.615,6.607,0.188,0.157,0.172,25.990,491931
1782481272110,0,0,0.000,6.607,6.607,0.188,0.157,0.167,25.990,491964
1782481272143,0,0,0.000,6.615,6.615,0.188,0.157,0.172,25.990,491997
1782481272178,0,0,0.000,6.607,6.607,0.188,0.157,0.172,25.990,492030
1782481272212,0,0,0.000,6.624,6.607,0.188,0.157,0.177,25.990,492063
1782481272245,0,0,0.000,6.615,6.607,0.188,0.157,0.161,25.990,492096
1782481272276,0,0,0.000,6.615,6.607,0.188,0.157,0.172,25.990,492129
1782481272309,0,0,0.000,6.607,6.607,0.188,0.157,0.177,25.990,492162
1782481272343,0,0,0.000,6.615,6.607,0.188,0.157,0.177,25.990,492195
1782481272376,0,0,0.000,6.607,6.607,0.188,0.157,0.172,25.990,492228
1782481272409,0,0,0.000,6.615,6.607,0.188,0.157,0.194,25.990,492261
1782481272443,0,0,0.000,6.615,6.607,0.188,0.188,0.177,25.990,492294
1782481272475,0,0,0.000,6.615,6.607,0.188,0.188,0.172,25.990,492327
1782481272518,0,0,0.000,6.607,6.607,0.188,0.157,0.194,25.990,492360
1782481272543,0,0,0.000,6.607,6.607,0.188,0.157,0.183,25.990,492393
1782481272584,0,0,0.000,6.615,6.607,0.188,0.188,0.172,25.990,492426
1782481272645,0,0,0.000,6.615,6.607,0.157,0.157,0.188,25.990,492459
1782481272662,0,0,0.000,6.615,6.607,0.188,0.157,0.172,25.990,492492
1782481272684,0,0,0.006,6.615,6.615,0.188,0.157,0.172,25.990,492525
1782481272716,0,0,0.000,6.615,6.607,0.188,0.188,0.194,25.990,492558
1782481272750,0,0,0.000,6.615,6.607,0.188,0.188,0.177,25.990,492591
1782481272782,0,0,0.006,6.607,6.615,0.188,0.157,0.172,25.990,492624
1782481272815,0,0,0.000,6.624,6.607,0.188,0.157,0.172,25.990,492657
1782481272851,0,0,0.000,6.607,6.607,0.157,0.157,0.161,25.990,492690
1782481272882,0,0,0.000,6.607,6.615,0.157,0.157,0.134,25.990,492723
1782481272915,0,0,0.000,6.615,6.607,0.188,0.157,0.172,25.990,492756
1782481272961,0,0,0.000,6.624,6.607,0.188,0.157,0.113,25.990,492789
1782481272983,0,0,0.000,6.615,6.615,0.188,0.157,0.129,25.990,492822
1782481273014,0,0,0.000,6.624,6.607,0.188,0.188,0.151,25.990,492855
1782481273046,0,0,0.000,6.607,6.615,0.188,0.157,0.124,25.990,492888
1782481273079,0,0,0.000,6.615,6.615,0.188,0.188,0.129,25.990,492921
1782481273120,0,0,0.000,6.624,6.615,0.188,0.157,0.129,25.990,492954
1782481273158,0,0,0.000,6.624,6.615,0.157,0.157,0.129,25.990,492987
1782481273179,0,0,0.000,6.615,6.607,0.188,0.157,0.129,25.990,493020
1782481273211,0,0,0.000,6.615,6.615,0.188,0.157,0.151,25.990,493053
1782481273247,0,0,0.000,6.607,6.607,0.188,0.157,0.129,25.990,493086
1782481273278,0,0,0.000,6.615,6.615,0.188,0.157,0.129,25.990,493119
1782481273310,0,0,0.000,6.624,6.607,0.188,0.157,0.129,25.990,493152
1782481273347,0,0,0.000,6.624,6.615,0.157,0.157,0.129,25.990,493185
1782481273376,0,0,0.000,6.624,6.607,0.188,0.157,0.156,25.990,493218
1782481273410,0,0,0.000,6.615,6.615,0.188,0.188,0.129,25.990,493251
1782481273442,0,0,0.000,6.624,6.607,0.188,0.157,0.129,25.990,493284
1782481273477,0,0,0.000,6.615,6.624,0.188,0.157,0.145,25.990,493317
1782481273509,0,0,0.000,6.615,6.624,0.188,0.157,0.129,25.990,493350
