t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782536749695,0,0,0.000,6.557,6.533,0.188,0.157,0.199,25.129,751278
1782536749727,0,0,0.006,6.566,6.557,0.157,0.157,0.194,25.129,751311
1782536749760,0,0,0.000,6.557,6.549,0.157,0.126,0.194,25.129,751344
1782536749792,0,0,0.000,6.557,6.549,0.188,0.126,0.177,25.129,751377
1782536749825,0,0,0.000,6.557,6.549,0.188,0.157,0.199,25.129,751410
1782536749860,0,0,0.000,6.566,6.549,0.126,0.220,0.172,25.129,751443
1782536749891,0,0,0.000,6.557,6.549,0.188,0.188,0.156,25.129,751476
1782536749925,0,0,0.000,6.557,6.549,0.188,0.188,0.172,25.129,751509
1782536749959,0,0,0.000,6.557,6.549,0.188,0.157,0.199,25.129,751542
1782536749991,0,0,0.000,6.557,6.549,0.157,0.157,0.172,25.129,751575
1782536750024,0,0,0.000,6.557,6.557,0.188,0.126,0.172,25.129,751608
1782536750058,0,0,0.000,6.549,6.549,0.188,0.157,0.194,25.129,751641
1782536750091,0,0,0.000,6.557,6.549,0.188,0.126,0.183,25.129,751674
1782536750130,0,0,0.000,6.557,6.549,0.251,0.126,0.167,25.129,751707
1782536750159,0,0,0.000,6.557,6.549,0.188,0.157,0.172,25.129,751740
1782536750188,0,0,0.000,6.557,6.541,0.157,0.188,0.134,25.129,751773
1782536750222,0,0,0.000,6.541,6.557,0.188,0.157,0.161,25.129,751806
1782536750255,0,0,0.000,6.557,6.541,0.188,0.157,0.210,25.129,751839
1782536750288,0,0,0.000,6.557,6.541,0.188,0.126,0.215,25.129,751872
1782536750321,0,0,0.000,6.557,6.549,0.188,0.126,0.215,25.129,751905
1782536750353,0,0,0.000,6.549,6.549,0.188,0.126,0.210,25.043,751938
1782536750389,0,0,0.000,6.541,6.549,0.157,0.157,0.210,25.129,751971
1782536750420,0,0,0.000,6.541,6.533,0.188,0.157,0.210,25.043,752004
1782536750452,0,0,0.000,6.549,6.541,0.157,0.157,0.210,25.129,752037
1782536750486,0,0,0.000,6.549,6.541,0.188,0.126,0.226,25.129,752070
1782536750519,0,0,0.000,6.541,6.541,0.157,0.188,0.210,25.129,752103
1782536750551,0,0,0.000,6.549,6.533,0.188,0.188,0.215,25.129,752136
1782536750586,0,0,0.000,6.549,6.549,0.188,0.157,0.204,25.129,752169
1782536750617,0,0,0.000,6.549,6.549,0.188,0.126,0.210,25.129,752202
1782536750650,0,0,0.000,6.549,6.549,0.126,0.188,0.226,25.043,752235
1782536750683,0,0,0.006,6.557,6.541,0.126,0.157,0.215,25.129,752268
1782536750717,0,0,0.000,6.549,6.541,0.157,0.126,0.226,25.129,752301
1782536750749,0,0,0.000,6.549,6.549,0.188,0.157,0.215,25.129,752334
1782536750783,0,0,0.000,6.557,6.541,0.157,0.188,0.199,25.043,752367
1782536750816,0,0,0.000,6.533,6.541,0.188,0.157,0.317,25.129,752400
1782536750848,0,0,0.006,6.549,6.549,0.188,0.157,0.204,25.129,752433
1782536750881,0,0,0.000,6.549,6.549,0.157,0.157,0.215,25.129,752466
1782536750915,0,0,0.000,6.533,6.533,0.157,0.157,0.355,25.129,752499
