t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1780142711964,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24387
1780142711998,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,24420
1780142712032,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24453
1780142712065,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,24486
1780142712097,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24519
1780142712132,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24552
1780142712164,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,24585
1780142712199,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24618
1780142712232,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,24651
1780142712263,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.402,24684
1780142712303,0,0,3.310,6.673,6.673,0.157,0.157,0.011,22.402,24717
1780142712330,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24750
1780142712364,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24783
1780142712400,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24816
1780142712430,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24849
1780142712463,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,24882
1780142712498,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24915
1780142712536,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24948
1780142712563,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,24981
1780142712597,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25014
1780142712637,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25047
1780142712662,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25080
1780142712695,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,25113
1780142712734,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.402,25146
1780142712762,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25179
1780142712796,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25212
1780142712829,0,0,3.316,6.673,6.673,0.188,0.188,0.011,22.402,25245
1780142712862,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25278
1780142712897,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25311
1780142712940,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25344
1780142712962,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25377
1780142712995,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,25410
1780142713031,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25443
1780142713062,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,25476
1780142713095,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,25509
1780142713130,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.487,25542
1780142713162,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25575
1780142713195,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,25608
1780142713227,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25641
1780142713262,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25674
1780142713294,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,25707
1780142713331,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,25740
1780142713360,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25773
1780142713393,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25806
1780142713428,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25839
1780142713460,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25872
1780142713494,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,25905
1780142713528,0,0,3.316,6.682,6.665,0.188,0.157,0.011,22.402,25938
1780142713560,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,25971
1780142713602,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,26004
1780142713630,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26037
1780142713660,0,0,3.316,6.673,6.673,0.188,0.188,0.011,22.402,26070
1780142713693,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,26103
1780142713731,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26136
1780142713759,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26169
1780142713793,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,26202
1780142713826,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26235
1780142713860,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26268
1780142713893,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26301
1780142713926,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26334
1780142713959,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26367
1780142713992,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26400
1780142714038,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26433
1780142714059,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,26466
1780142714093,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26499
1780142714125,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.402,26532
1780142714159,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26565
1780142714198,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26598
1780142714236,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26631
1780142714274,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,26664
1780142714293,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,26697
1780142714335,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26730
1780142714367,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,26763
1780142714400,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26796
1780142714433,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26829
1780142714467,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,26862
1780142714499,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,26895
1780142714541,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,26928
1780142714570,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,26961
1780142714599,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.402,26994
1780142714636,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27027
1780142714667,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,27060
1780142714699,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.487,27093
1780142714731,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,27126
1780142714763,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27159
1780142714800,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.402,27192
1780142714832,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27225
1780142714862,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27258
1780142714910,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27291
1780142714931,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27324
1780142714970,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27357
1780142714994,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,27390
1780142715028,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.402,27423
1780142715062,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,27456
1780142715099,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27489
1780142715126,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,27522
1780142715164,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27555
1780142715202,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27588
1780142715225,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.402,27621
1780142715258,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27654
1780142715292,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,27687
1780142715325,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27720
1780142715357,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27753
1780142715391,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27786
1780142715435,0,0,3.316,6.673,6.673,0.188,0.126,0.011,22.402,27819
1780142715456,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27852
1780142715491,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27885
1780142715532,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,27918
1780142715556,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,27951
1780142715596,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,27984
1780142715622,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,28017
1780142715655,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28050
1780142715689,0,0,3.310,6.673,6.673,0.188,0.126,0.011,22.402,28083
1780142715722,0,0,3.316,6.682,6.673,0.157,0.157,0.011,22.402,28116
1780142715757,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.487,28149
1780142715790,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,28182
1780142715824,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28215
1780142715856,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.487,28248
1780142715900,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.402,28281
1780142715921,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28314
1780142715954,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28347
1780142715988,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28380
1780142716020,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.487,28413
1780142716055,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,28446
1780142716088,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28479
1780142716121,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28512
1780142716162,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28545
1780142716190,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,28578
1780142716232,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,28611
1780142716254,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,28644
1780142716292,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,28677
1780142716321,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28710
1780142716354,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28743
1780142716387,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28776
1780142716421,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28809
1780142716461,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28842
1780142716487,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28875
1780142716520,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28908
1780142716559,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28941
1780142716588,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,28974
1780142716619,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29007
1780142716655,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29040
1780142716686,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,29073
1780142716720,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,29106
1780142716753,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29139
1780142716786,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.402,29172
1780142716820,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29205
1780142716852,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29238
1780142716885,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29271
1780142716918,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29304
1780142716952,0,0,3.316,6.682,6.673,0.157,0.157,0.011,22.402,29337
1780142716986,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29370
1780142717020,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29403
1780142717052,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29436
1780142717085,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29469
1780142717121,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29502
1780142717152,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29535
1780142717186,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29568
1780142717219,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,29601
1780142717251,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.402,29634
1780142717285,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29667
1780142717318,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29700
1780142717351,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29733
1780142717384,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.402,29766
1780142717418,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29799
1780142717451,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,29832
1780142717485,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29865
1780142717520,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29898
1780142717551,0,0,3.316,6.682,6.673,0.157,0.157,0.011,22.402,29931
1780142717585,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29964
1780142717618,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,29997
1780142717651,0,0,3.316,6.682,6.665,0.188,0.157,0.011,22.402,30030
1780142717684,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,30063
1780142717717,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,30096
1780142717750,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,30129
1780142717792,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30162
1780142717816,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30195
1780142717851,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30228
1780142717895,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30261
1780142717917,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30294
1780142717950,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30327
1780142717995,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.402,30360
1780142718016,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30393
1780142718050,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30426
1780142718083,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.402,30459
1780142718116,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.487,30492
1780142718152,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,30525
1780142718184,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.402,30558
1780142718217,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.487,30591
1780142718249,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30624
1780142718283,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30657
1780142718316,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.487,30690
1780142718348,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,30723
1780142718382,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30756
1780142718437,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30789
1780142718449,0,0,3.316,6.682,6.673,0.188,0.157,0.011,22.402,30822
1780142718482,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30855
1780142718515,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,30888
1780142718549,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30921
1780142718582,0,0,3.310,6.673,6.673,0.188,0.157,0.016,22.402,30954
1780142718624,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,30987
1780142718664,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,31020
1780142718690,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,31053
1780142718724,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.402,31086
1780142718756,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.402,31119
