t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782481751200,0,0,0.000,6.615,6.624,0.188,0.188,0.151,25.990,967461
1782481751235,0,0,0.000,6.607,6.615,0.188,0.157,0.167,25.904,967494
1782481751270,0,0,0.000,6.624,6.615,0.188,0.157,0.188,25.904,967527
1782481751312,0,0,0.000,6.615,6.607,0.188,0.157,0.183,25.818,967560
1782481751339,0,0,0.000,6.624,6.624,0.157,0.157,0.140,25.904,967593
1782481751373,0,0,0.000,6.615,6.615,0.157,0.157,0.167,25.904,967626
1782481751403,0,0,0.000,6.624,6.615,0.188,0.157,0.167,25.904,967659
1782481751434,0,0,0.000,6.624,6.615,0.157,0.126,0.183,25.818,967692
1782481751468,0,0,0.000,6.624,6.607,0.188,0.188,0.204,25.904,967725
1782481751499,0,0,0.000,6.624,6.624,0.188,0.157,0.177,25.904,967758
1782481751533,0,0,0.000,6.624,6.615,0.188,0.220,0.199,25.818,967791
1782481751565,0,0,0.000,6.624,6.624,0.188,0.157,0.177,25.904,967824
1782481751599,0,0,0.000,6.624,6.615,0.188,0.188,0.161,25.904,967857
1782481751632,0,0,0.000,6.624,6.615,0.188,0.188,0.188,25.904,967890
1782481751667,0,0,0.012,6.624,6.615,0.251,0.157,0.188,25.904,967923
1782481751699,0,0,0.006,6.615,6.615,0.188,0.157,0.183,25.818,967956
1782481751733,0,0,0.000,6.624,6.615,0.188,0.126,0.194,25.818,967989
1782481751766,0,0,0.000,6.624,6.624,0.188,0.157,0.194,25.904,968022
1782481751798,0,0,0.000,6.615,6.599,0.188,0.157,0.188,25.990,968055
1782481751832,0,0,0.000,6.624,6.624,0.188,0.157,0.172,25.904,968088
1782481751868,0,0,0.000,6.624,6.615,0.188,0.157,0.194,25.904,968121
1782481751908,0,0,0.000,6.624,6.615,0.251,0.188,0.188,25.904,968154
1782481751941,0,0,0.000,6.615,6.615,0.188,0.188,0.199,25.904,968187
1782481751974,0,0,0.000,6.615,6.624,0.220,0.157,0.188,25.904,968220
1782481752006,0,0,0.000,6.632,6.615,0.188,0.157,0.172,25.818,968253
1782481752040,0,0,0.000,6.624,6.607,0.188,0.157,0.194,25.904,968286
1782481752073,0,0,0.006,6.624,6.615,0.157,0.157,0.161,25.818,968319
1782481752106,0,0,0.000,6.607,6.632,0.126,0.157,0.204,25.904,968352
1782481752138,0,0,0.006,6.624,6.607,0.188,0.157,0.183,25.904,968385
1782481752175,0,0,0.000,6.624,6.615,0.188,0.188,0.161,25.904,968418
1782481752204,0,0,0.000,6.632,6.624,0.157,0.188,0.118,25.904,968451
1782481752237,0,0,0.000,6.624,6.615,0.157,0.157,0.129,25.904,968484
1782481752277,0,0,0.006,6.632,6.624,0.188,0.157,0.113,25.904,968517
1782481752307,0,0,0.000,6.624,6.615,0.188,0.126,0.113,25.818,968550
1782481752337,0,0,0.000,6.624,6.615,0.157,0.157,0.167,25.904,968583
1782481752370,0,0,0.000,6.624,6.607,0.188,0.157,0.118,25.904,968616
1782481752403,0,0,0.000,6.624,6.624,0.188,0.157,0.151,25.904,968649
1782481752436,0,0,0.000,6.624,6.615,0.188,0.188,0.129,25.904,968682
1782481752468,0,0,0.000,6.624,6.624,0.157,0.220,0.129,25.904,968715
1782481752503,0,0,0.000,6.624,6.624,0.188,0.157,0.129,25.904,968748
1782481752535,0,0,0.000,6.624,6.624,0.188,0.157,0.151,25.904,968781
1782481752567,0,0,0.000,6.624,6.624,0.188,0.188,0.129,25.818,968814
1782481752601,0,0,0.000,6.624,6.624,0.220,0.157,0.140,25.818,968847
1782481752634,0,0,0.000,6.632,6.624,0.188,0.188,0.124,25.904,968880
1782481752667,0,0,0.000,6.624,6.615,0.126,0.157,0.108,25.904,968913
1782481752703,0,0,0.000,6.624,6.624,0.188,0.157,0.129,25.818,968946
1782481752733,0,0,0.000,6.624,6.624,0.188,0.157,0.118,25.904,968979
1782481752765,0,0,0.000,6.624,6.624,0.157,0.188,0.134,25.818,969012
1782481752798,0,0,0.006,6.624,6.624,0.188,0.157,0.124,25.818,969045
1782481752832,0,0,0.000,6.624,6.607,0.251,0.157,0.134,25.904,969078
1782481752865,0,0,0.000,6.624,6.615,0.188,0.157,0.118,25.904,969111
1782481752898,0,0,0.000,6.615,6.624,0.188,0.157,0.124,25.904,969144
1782481752931,0,0,0.000,6.624,6.624,0.188,0.157,0.124,25.904,969177
1782481752970,0,0,0.000,6.640,6.615,0.188,0.157,0.156,25.818,969210
1782481752999,0,0,0.000,6.615,6.624,0.188,0.157,0.156,25.904,969243
1782481753030,0,0,0.000,6.624,6.624,0.126,0.157,0.129,25.904,969276
1782481753062,0,0,0.000,6.640,6.615,0.251,0.157,0.151,25.904,969309
1782481753097,0,0,0.000,6.624,6.615,0.220,0.157,0.129,25.904,969342
1782481753128,0,0,0.006,6.624,6.632,0.188,0.157,0.118,25.990,969375
1782481753162,0,0,0.000,6.624,6.624,0.220,0.157,0.124,25.990,969408
1782481753199,0,0,0.000,6.615,6.624,0.188,0.157,0.129,25.904,969441
1782481753233,0,0,0.000,6.624,6.615,0.126,0.157,0.129,25.904,969474
1782481753262,0,0,0.000,6.624,6.624,0.188,0.157,0.140,25.904,969507
1782481753301,0,0,0.000,6.624,6.624,0.188,0.157,0.124,25.904,969540
1782481753329,0,0,0.000,6.615,6.615,0.157,0.126,0.118,25.904,969573
1782481753362,0,0,0.000,6.624,6.607,0.157,0.157,0.129,25.818,969606
1782481753395,0,0,0.000,6.624,6.615,0.188,0.157,0.129,25.904,969639
1782481753428,0,0,0.006,6.640,6.632,0.188,0.188,0.129,25.904,969672
1782481753461,0,0,0.000,6.624,6.615,0.188,0.157,0.129,25.904,969705
1782481753495,0,0,0.000,6.624,6.615,0.188,0.157,0.129,25.904,969738
1782481753527,0,0,0.000,6.624,6.615,0.188,0.157,0.129,25.904,969771
1782481753561,0,0,0.000,6.624,6.624,0.188,0.157,0.134,25.904,969804
1782481753595,0,0,0.000,6.624,6.624,0.188,0.157,0.134,25.904,969837
