t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782536395176,0,0,0.000,6.566,6.557,0.188,0.157,0.177,24.957,399432
1782536395210,0,0,0.000,6.566,6.566,0.188,0.157,0.145,24.957,399465
1782536395242,0,0,0.000,6.566,6.566,0.188,0.157,0.161,24.957,399498
1782536395277,0,0,0.000,6.566,6.566,0.188,0.157,0.172,24.957,399531
1782536395309,0,0,0.000,6.566,6.566,0.188,0.157,0.167,24.957,399564
1782536395342,0,0,0.000,6.566,6.557,0.188,0.157,0.172,24.957,399597
1782536395374,0,0,0.000,6.566,6.566,0.188,0.157,0.172,24.957,399630
1782536395414,0,0,0.000,6.566,6.557,0.188,0.157,0.177,24.957,399663
1782536395443,0,0,0.000,6.566,6.566,0.188,0.157,0.215,24.957,399696
1782536395474,0,0,0.000,6.566,6.557,0.188,0.157,0.172,24.957,399729
1782536395510,0,0,0.000,6.566,6.566,0.188,0.157,0.156,24.957,399762
1782536395543,0,0,0.000,6.566,6.557,0.188,0.157,0.172,24.957,399795
1782536395572,0,0,0.000,6.566,6.557,0.188,0.157,0.194,24.957,399828
1782536395605,0,0,0.000,6.566,6.566,0.188,0.157,0.151,24.957,399861
1782536395673,0,0,0.000,6.566,6.566,0.188,0.157,0.161,24.957,399894
1782536395675,0,0,0.000,6.566,6.557,0.188,0.157,0.215,24.957,399927
1782536395704,0,0,0.000,6.557,6.557,0.188,0.188,0.247,24.957,399960
1782536395737,0,0,0.000,6.566,6.557,0.188,0.157,0.210,24.957,399993
1782536395770,0,0,0.000,6.566,6.557,0.188,0.157,0.210,24.957,400026
1782536395804,0,0,0.000,6.557,6.557,0.188,0.157,0.220,24.957,400059
1782536395838,0,0,0.000,6.566,6.557,0.188,0.157,0.210,24.957,400092
1782536395889,0,0,0.000,6.566,6.557,0.188,0.157,0.204,24.957,400125
1782536395904,0,0,0.000,6.557,6.557,0.188,0.157,0.220,24.957,400158
1782536395936,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.957,400191
1782536395969,0,0,0.000,6.557,6.557,0.188,0.157,0.247,24.957,400224
1782536396004,0,0,0.000,6.566,6.557,0.188,0.157,0.204,24.957,400257
1782536396036,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.957,400290
1782536396069,0,0,0.000,6.566,6.557,0.188,0.188,0.220,24.957,400323
1782536396105,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.957,400356
1782536396135,0,0,0.000,6.566,6.557,0.188,0.157,0.220,24.957,400389
1782536396169,0,0,0.000,6.557,6.549,0.188,0.157,0.263,24.957,400422
1782536396202,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.957,400455
1782536396235,0,0,0.000,6.557,6.549,0.188,0.157,0.269,24.957,400488
1782536396269,0,0,0.000,6.557,6.557,0.188,0.157,0.210,24.957,400521
1782536396301,0,0,0.000,6.566,6.557,0.188,0.157,0.215,24.957,400554
1782536396337,0,0,0.000,6.549,6.549,0.188,0.157,0.317,24.957,400587
1782536396369,0,0,0.000,6.557,6.557,0.188,0.157,0.231,24.957,400620
1782536396404,0,0,0.000,6.557,6.557,0.188,0.157,0.220,24.957,400653
1782536396436,0,0,0.000,6.557,6.557,0.188,0.157,0.237,24.957,400686
1782536396468,0,0,0.000,6.566,6.557,0.188,0.157,0.242,24.957,400719
1782536396502,0,0,0.000,6.557,6.557,0.188,0.157,0.237,24.957,400752
1782536396538,0,0,0.000,6.557,6.541,0.188,0.157,0.328,24.957,400785
1782536396571,0,0,0.000,6.566,6.557,0.188,0.157,0.215,24.957,400818
1782536396603,0,0,0.000,6.549,6.549,0.188,0.157,0.328,24.957,400851
1782536396637,0,0,0.000,6.557,6.549,0.188,0.157,0.263,24.957,400884
1782536396670,0,0,0.000,6.557,6.549,0.188,0.157,0.258,24.957,400917
1782536396702,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.957,400950
1782536396735,0,0,0.000,6.549,6.549,0.188,0.157,0.371,24.957,400983
1782536396768,0,0,0.000,6.557,6.549,0.188,0.157,0.237,24.957,401016
1782536396801,0,0,0.000,6.557,6.549,0.188,0.157,0.366,24.957,401049
1782536396839,0,0,0.000,6.557,6.549,0.157,0.157,0.226,24.957,401082
1782536396867,0,0,0.000,6.557,6.557,0.157,0.157,0.215,24.957,401115
1782536396900,0,0,0.000,6.557,6.557,0.188,0.157,0.226,24.957,401148
1782536396935,0,0,0.000,6.557,6.557,0.188,0.157,0.220,24.957,401181
1782536396969,0,0,0.000,6.557,6.557,0.188,0.157,0.210,24.871,401214
1782536397011,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.957,401247
1782536397049,0,0,0.000,6.566,6.557,0.188,0.157,0.210,24.957,401280
1782536397075,0,0,0.000,6.557,6.557,0.188,0.157,0.242,24.957,401313
1782536397107,0,0,0.000,6.557,6.557,0.188,0.157,0.253,24.957,401346
1782536397133,0,0,0.000,6.557,6.557,0.188,0.157,0.220,24.957,401379
1782536397166,0,0,0.000,6.557,6.557,0.188,0.157,0.220,24.957,401412
1782536397199,0,0,0.000,6.557,6.557,0.188,0.157,0.220,24.957,401445
1782536397233,0,0,0.000,6.557,6.549,0.188,0.157,0.247,24.957,401478
1782536397267,0,0,0.000,6.557,6.557,0.188,0.157,0.210,24.957,401511
1782536397300,0,0,0.000,6.557,6.549,0.188,0.157,0.210,24.957,401544
1782536397338,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.957,401577
1782536397367,0,0,0.000,6.557,6.557,0.188,0.157,0.210,24.957,401610
1782536397401,0,0,0.000,6.557,6.557,0.188,0.157,0.220,24.957,401643
1782536397432,0,0,0.000,6.557,6.557,0.188,0.157,0.226,24.957,401676
1782536397466,0,0,0.000,6.557,6.557,0.157,0.157,0.215,24.957,401709
1782536397499,0,0,0.000,6.557,6.557,0.188,0.157,0.237,24.957,401742
1782536397533,0,0,0.000,6.557,6.557,0.188,0.157,0.226,24.957,401775
1782536397566,0,0,0.000,6.557,6.557,0.188,0.157,0.226,24.957,401808
1782536397599,0,0,0.000,6.557,6.549,0.188,0.157,0.215,24.957,401841
1782536397632,0,0,0.000,6.557,6.557,0.188,0.157,0.242,24.957,401874
1782536397666,0,0,0.000,6.557,6.557,0.188,0.157,0.247,24.957,401907
1782536397699,0,0,0.000,6.557,6.549,0.188,0.157,0.366,24.957,401940
1782536397734,0,0,0.000,6.557,6.557,0.188,0.157,0.237,24.957,401973
1782536397769,0,0,0.000,6.566,6.557,0.188,0.157,0.226,24.957,402006
1782536397798,0,0,0.000,6.557,6.549,0.188,0.157,0.242,24.957,402039
1782536397831,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.957,402072
1782536397869,0,0,0.000,6.549,6.541,0.188,0.157,0.344,24.957,402105
1782536397900,0,0,0.000,6.557,6.557,0.188,0.157,0.231,24.957,402138
1782536397932,0,0,0.000,6.557,6.557,0.188,0.157,0.210,24.957,402171
1782536397972,0,0,0.000,6.557,6.557,0.188,0.157,0.220,24.957,402204
1782536398001,0,0,0.000,6.557,6.549,0.188,0.157,0.237,24.957,402237
1782536398030,0,0,0.000,6.549,6.549,0.188,0.157,0.269,24.957,402270
1782536398064,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.957,402303
1782536398097,0,0,0.000,6.557,6.557,0.188,0.157,0.215,24.871,402336
1782536398131,0,0,0.000,6.566,6.557,0.188,0.157,0.226,24.957,402369
1782536398164,0,0,0.000,6.557,6.557,0.188,0.157,0.226,24.957,402402
1782536398201,0,0,0.000,6.557,6.549,0.188,0.157,0.215,24.957,402435
1782536398231,0,0,0.000,6.557,6.557,0.188,0.157,0.210,24.957,402468
1782536398268,0,0,0.000,6.557,6.549,0.188,0.157,0.226,24.957,402501
1782536398305,0,0,0.000,6.557,6.549,0.188,0.157,0.215,24.957,402534
1782536398332,0,0,0.000,6.557,6.549,0.188,0.157,0.253,24.957,402567
1782536398364,0,0,0.000,6.557,6.549,0.188,0.157,0.247,24.957,402600
1782536398396,0,0,0.000,6.557,6.557,0.188,0.157,0.237,24.871,402633
1782536398430,0,0,0.000,6.557,6.549,0.188,0.157,0.247,24.957,402666
1782536398464,0,0,0.000,6.557,6.549,0.188,0.157,0.237,24.957,402699
1782536398497,0,0,0.000,6.557,6.549,0.188,0.157,0.237,24.957,402732
1782536398530,0,0,0.000,6.557,6.549,0.188,0.157,0.215,24.957,402765
1782536398563,0,0,0.000,6.557,6.557,0.188,0.157,0.226,24.957,402798
1782536398596,0,0,0.000,6.557,6.549,0.188,0.157,0.301,24.957,402831
1782536398630,0,0,0.000,6.557,6.557,0.157,0.157,0.237,24.957,402864
