t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782481579960,0,0,0.000,6.615,6.624,0.188,0.157,0.129,25.990,797511
1782481579992,0,0,0.006,6.624,6.624,0.188,0.157,0.167,25.990,797544
1782481580025,0,0,0.000,6.624,6.607,0.157,0.157,0.188,25.990,797577
1782481580059,0,0,0.000,6.615,6.607,0.188,0.157,0.161,25.990,797610
1782481580106,0,0,0.000,6.615,6.615,0.188,0.188,0.167,25.904,797643
1782481580140,0,0,0.000,6.624,6.615,0.126,0.157,0.161,25.990,797676
1782481580172,0,0,0.000,6.624,6.607,0.157,0.157,0.145,25.990,797709
1782481580194,0,0,0.000,6.615,6.624,0.188,0.157,0.167,25.990,797742
1782481580225,0,0,0.000,6.624,6.615,0.188,0.188,0.177,25.904,797775
1782481580260,0,0,0.000,6.624,6.624,0.188,0.157,0.177,25.990,797808
1782481580293,0,0,0.000,6.624,6.615,0.157,0.157,0.204,25.990,797841
1782481580338,0,0,0.000,6.624,6.615,0.220,0.126,0.177,25.990,797874
1782481580363,0,0,0.000,6.624,6.615,0.188,0.157,0.177,25.990,797907
1782481580399,0,0,0.000,6.624,6.615,0.188,0.157,0.172,25.904,797940
1782481580424,0,0,0.000,6.624,6.607,0.157,0.157,0.183,25.990,797973
1782481580458,0,0,0.000,6.624,6.615,0.188,0.157,0.210,25.904,798006
1782481580491,0,0,0.000,6.607,6.607,0.188,0.157,0.226,25.990,798039
1782481580525,0,0,0.000,6.632,6.607,0.188,0.157,0.210,25.904,798072
1782481580558,0,0,0.000,6.607,6.615,0.157,0.157,0.210,25.990,798105
1782481580591,0,0,0.000,6.624,6.615,0.220,0.157,0.210,25.990,798138
1782481580623,0,0,0.000,6.615,6.607,0.188,0.157,0.215,25.990,798171
1782481580657,0,0,0.012,6.624,6.607,0.157,0.157,0.220,25.990,798204
1782481580691,0,0,0.000,6.615,6.607,0.188,0.188,0.215,25.990,798237
1782481580724,0,0,0.000,6.624,6.607,0.188,0.188,0.226,25.990,798270
1782481580763,0,0,0.000,6.615,6.624,0.188,0.157,0.210,25.904,798303
1782481580791,0,0,0.000,6.615,6.607,0.188,0.157,0.231,25.990,798336
1782481580826,0,0,0.000,6.624,6.607,0.157,0.157,0.226,25.990,798369
1782481580860,0,0,0.000,6.624,6.615,0.188,0.157,0.226,25.818,798402
1782481580896,0,0,0.000,6.624,6.615,0.188,0.157,0.237,25.904,798435
1782481580923,0,0,0.000,6.607,6.615,0.188,0.220,0.226,25.990,798468
1782481580960,0,0,0.000,6.615,6.607,0.188,0.188,0.210,25.904,798501
1782481580990,0,0,0.000,6.615,6.615,0.188,0.126,0.226,25.990,798534
1782481581032,0,0,0.000,6.624,6.607,0.188,0.157,0.237,25.990,798567
1782481581056,0,0,0.000,6.615,6.615,0.188,0.157,0.210,25.990,798600
1782481581090,0,0,0.000,6.624,6.615,0.188,0.157,0.210,25.904,798633
1782481581127,0,0,0.000,6.615,6.632,0.157,0.188,0.220,25.904,798666
1782481581166,0,0,0.000,6.607,6.607,0.157,0.157,0.220,25.990,798699
1782481581194,0,0,0.000,6.615,6.615,0.188,0.126,0.204,25.990,798732
1782481581222,0,0,0.012,6.624,6.615,0.188,0.188,0.204,25.904,798765
1782481581268,0,0,0.000,6.615,6.615,0.188,0.157,0.215,25.990,798798
1782481581298,0,0,0.000,6.615,6.607,0.188,0.157,0.215,25.990,798831
1782481581322,0,0,0.000,6.615,6.615,0.188,0.126,0.237,25.990,798864
1782481581366,0,0,0.000,6.615,6.599,0.188,0.157,0.215,25.990,798897
1782481581399,0,0,0.000,6.624,6.607,0.188,0.157,0.215,25.990,798930
1782481581483,0,0,0.000,6.615,6.615,0.188,0.157,0.204,25.904,798963
1782481581483,0,0,0.000,6.615,6.607,0.157,0.188,0.215,25.904,798996
1782481581496,0,0,0.006,6.615,6.599,0.157,0.188,0.220,25.990,799029
1782481581530,0,0,0.000,6.615,6.615,0.157,0.157,0.226,25.904,799062
1782481581563,0,0,0.000,6.615,6.607,0.188,0.126,0.263,25.990,799095
1782481581597,0,0,0.000,6.615,6.599,0.157,0.157,0.349,25.904,799128
1782481581629,0,0,0.000,6.615,6.607,0.157,0.157,0.226,25.990,799161
1782481581662,0,0,0.000,6.615,6.607,0.188,0.157,0.215,25.904,799194
1782481581695,0,0,0.006,6.615,6.615,0.188,0.157,0.226,25.904,799227
1782481581727,0,0,0.006,6.607,6.599,0.157,0.188,0.226,25.990,799260
1782481581765,0,0,0.000,6.624,6.607,0.157,0.157,0.210,25.904,799293
1782481581804,0,0,0.000,6.624,6.607,0.188,0.126,0.220,25.990,799326
1782481581826,0,0,0.000,6.615,6.599,0.188,0.157,0.355,25.990,799359
1782481581859,0,0,0.000,6.615,6.615,0.220,0.157,0.199,25.990,799392
1782481581900,0,0,0.000,6.624,6.615,0.188,0.188,0.210,25.990,799425
1782481581927,0,0,0.000,6.615,6.607,0.188,0.157,0.204,25.904,799458
1782481581962,0,0,0.000,6.615,6.615,0.188,0.157,0.210,25.990,799491
1782481582000,0,0,0.000,6.615,6.615,0.188,0.157,0.237,25.904,799524
1782481582029,0,0,0.000,6.615,6.624,0.188,0.157,0.204,25.990,799557
