t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782484331626,0,0,0.000,6.607,6.599,0.188,0.157,0.140,25.818,1193445
1782484331659,0,0,0.000,6.599,6.591,0.220,0.157,0.151,25.818,1193478
1782484331687,0,0,0.000,6.599,6.607,0.188,0.157,0.145,25.818,1193511
1782484331723,0,0,0.000,6.591,6.599,0.157,0.126,0.151,25.818,1193544
1782484331762,0,0,0.000,6.599,6.599,0.188,0.157,0.167,25.904,1193577
1782484331786,0,0,0.000,6.591,6.607,0.188,0.126,0.129,25.818,1193610
1782484331821,0,0,0.000,6.591,6.591,0.188,0.157,0.118,25.904,1193643
1782484331861,0,0,0.000,6.607,6.591,0.188,0.188,0.129,25.904,1193676
1782484331883,0,0,0.000,6.607,6.591,0.126,0.157,0.124,25.904,1193709
1782484331923,0,0,0.006,6.599,6.599,0.157,0.157,0.134,25.904,1193742
1782484331976,0,0,0.000,6.607,6.599,0.188,0.157,0.124,25.904,1193775
1782484332005,0,0,0.000,6.607,6.591,0.188,0.188,0.124,25.818,1193808
1782484332016,0,0,0.000,6.599,6.591,0.188,0.157,0.134,25.904,1193841
1782484332054,0,0,0.000,6.599,6.599,0.188,0.188,0.113,25.904,1193874
1782484332093,0,0,0.000,6.599,6.591,0.157,0.188,0.140,25.904,1193907
1782484332125,0,0,0.000,6.599,6.591,0.126,0.126,0.129,25.904,1193940
1782484332156,0,0,0.000,6.599,6.582,0.188,0.157,0.129,25.904,1193973
1782484332186,0,0,0.006,6.615,6.599,0.126,0.157,0.134,25.904,1194006
1782484332213,0,0,0.000,6.599,6.599,0.126,0.157,0.172,25.818,1194039
1782484332247,0,0,0.000,6.599,6.591,0.188,0.126,0.124,25.904,1194072
1782484332290,0,0,0.000,6.607,6.591,0.188,0.157,0.134,25.904,1194105
1782484332331,0,0,0.000,6.599,6.591,0.188,0.157,0.167,25.818,1194138
1782484332345,0,0,0.000,6.599,6.599,0.188,0.188,0.129,25.904,1194171
1782484332382,0,0,0.000,6.591,6.599,0.188,0.188,0.129,25.904,1194204
1782484332414,0,0,0.000,6.607,6.599,0.188,0.188,0.118,25.904,1194237
1782484332447,0,0,0.000,6.599,6.599,0.188,0.157,0.129,25.904,1194270
1782484332478,0,0,0.000,6.607,6.607,0.188,0.157,0.124,25.904,1194303
1782484332510,0,0,0.000,6.599,6.599,0.188,0.188,0.134,25.818,1194336
1782484332545,0,0,0.000,6.599,6.599,0.188,0.188,0.124,25.904,1194369
1782484332583,0,0,0.000,6.599,6.599,0.220,0.157,0.129,25.818,1194402
1782484332624,0,0,0.000,6.599,6.599,0.188,0.157,0.145,25.904,1194435
1782484332642,0,0,0.000,6.599,6.599,0.188,0.157,0.118,25.818,1194468
1782484332686,0,0,0.000,6.591,6.591,0.188,0.126,0.129,25.904,1194501
1782484332709,0,0,0.000,6.599,6.599,0.188,0.157,0.177,25.818,1194534
1782484332777,0,0,0.000,6.607,6.599,0.157,0.157,0.129,25.904,1194567
1782484332792,0,0,0.006,6.599,6.599,0.220,0.157,0.124,25.818,1194600
1782484332832,0,0,0.000,6.599,6.591,0.157,0.188,0.172,25.904,1194633
1782484332843,0,0,0.000,6.599,6.591,0.188,0.157,0.129,25.818,1194666
1782484332875,0,0,0.000,6.607,6.582,0.220,0.188,0.134,25.818,1194699
1782484332908,0,0,0.000,6.599,6.599,0.188,0.157,0.113,25.818,1194732
1782484332943,0,0,0.000,6.599,6.591,0.188,0.157,0.129,25.818,1194765
1782484332979,0,0,0.000,6.599,6.591,0.188,0.188,0.124,25.818,1194798
1782484333011,0,0,0.000,6.599,6.591,0.188,0.157,0.151,25.904,1194831
1782484333048,0,0,0.000,6.591,6.591,0.188,0.157,0.140,25.904,1194864
1782484333085,0,0,0.000,6.599,6.591,0.157,0.126,0.134,25.904,1194897
1782484333110,0,0,0.006,6.607,6.591,0.188,0.157,0.161,25.904,1194930
1782484333157,0,0,0.006,6.599,6.591,0.188,0.157,0.156,25.904,1194963
1782484333186,0,0,0.000,6.599,6.591,0.220,0.157,0.145,25.904,1194996
1782484333223,0,0,0.000,6.591,6.591,0.188,0.126,0.167,25.818,1195029
1782484333242,0,0,0.000,6.599,6.591,0.157,0.157,0.194,25.818,1195062
1782484333289,0,0,0.000,6.591,6.591,0.188,0.157,0.161,25.904,1195095
1782484333308,0,0,0.000,6.591,6.599,0.220,0.157,0.167,25.904,1195128
1782484333344,0,0,0.000,6.607,6.591,0.188,0.157,0.183,25.904,1195161
1782484333385,0,0,0.000,6.591,6.591,0.188,0.157,0.156,25.818,1195194
1782484333409,0,0,0.000,6.599,6.599,0.188,0.157,0.172,25.818,1195227
1782484333445,0,0,0.000,6.599,6.591,0.188,0.157,0.156,25.818,1195260
1782484333491,0,0,0.000,6.599,6.599,0.188,0.157,0.167,25.904,1195293
1782484333511,0,0,0.000,6.591,6.591,0.188,0.157,0.183,25.904,1195326
1782484333547,0,0,0.000,6.599,6.591,0.251,0.157,0.161,25.904,1195359
1782484333580,0,0,0.006,6.591,6.582,0.188,0.157,0.172,25.904,1195392
1782484333615,0,0,0.000,6.599,6.591,0.188,0.157,0.161,25.904,1195425
1782484333642,0,0,0.000,6.599,6.599,0.188,0.157,0.161,25.818,1195458
1782484333675,0,0,0.000,6.599,6.599,0.188,0.188,0.167,25.904,1195491
1782484333706,0,0,0.006,6.591,6.599,0.157,0.188,0.161,25.818,1195524
1782484333741,0,0,0.000,6.599,6.591,0.188,0.157,0.167,25.818,1195557
