t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782484465763,0,0,0.000,6.591,6.574,0.157,0.188,0.161,25.818,1326567
1782484465797,0,0,0.000,6.591,6.574,0.188,0.126,0.124,25.818,1326600
1782484465830,0,0,0.000,6.607,6.566,0.188,0.157,0.118,25.818,1326633
1782484465863,0,0,0.000,6.582,6.599,0.188,0.157,0.113,25.904,1326666
1782484465895,0,0,0.000,6.607,6.582,0.157,0.157,0.118,25.818,1326699
1782484465932,0,0,0.000,6.591,6.599,0.188,0.157,0.124,25.904,1326732
1782484465963,0,0,0.006,6.582,6.591,0.188,0.157,0.156,25.818,1326765
1782484465995,0,0,0.000,6.591,6.574,0.126,0.157,0.129,25.818,1326798
1782484466029,0,0,0.006,6.591,6.582,0.188,0.157,0.129,25.818,1326831
1782484466061,0,0,0.000,6.582,6.582,0.126,0.188,0.134,25.818,1326864
1782484466096,0,0,0.000,6.591,6.582,0.157,0.094,0.129,25.818,1326897
1782484466127,0,0,0.000,6.582,6.582,0.188,0.157,0.156,25.990,1326930
1782484466175,0,0,0.000,6.591,6.582,0.157,0.157,0.124,25.818,1326963
1782484466197,0,0,0.006,6.582,6.582,0.157,0.188,0.129,25.818,1326996
1782484466226,0,0,0.000,6.607,6.574,0.188,0.126,0.156,25.818,1327029
1782484466258,0,0,0.000,6.591,6.599,0.157,0.126,0.129,25.818,1327062
1782484466292,0,0,0.000,6.591,6.582,0.188,0.157,0.129,25.818,1327095
1782484466324,0,0,0.000,6.607,6.582,0.188,0.188,0.118,25.818,1327128
1782484466359,0,0,0.006,6.574,6.582,0.188,0.157,0.129,25.818,1327161
1782484466390,0,0,0.000,6.591,6.582,0.188,0.157,0.129,25.904,1327194
1782484466423,0,0,0.000,6.591,6.582,0.188,0.188,0.113,25.818,1327227
1782484466457,0,0,0.000,6.582,6.582,0.188,0.126,0.134,25.731,1327260
1782484466490,0,0,0.000,6.591,6.574,0.188,0.157,0.129,25.990,1327293
1782484466522,0,0,0.000,6.574,6.574,0.188,0.157,0.161,25.904,1327326
1782484466556,0,0,0.000,6.574,6.582,0.188,0.157,0.124,25.818,1327359
1782484466607,0,0,0.000,6.591,6.574,0.157,0.157,0.124,25.818,1327392
1782484466632,0,0,0.000,6.591,6.582,0.188,0.157,0.129,25.731,1327425
1782484466668,0,0,0.000,6.582,6.582,0.188,0.157,0.129,25.818,1327458
1782484466689,0,0,0.000,6.591,6.582,0.188,0.188,0.134,25.904,1327491
1782484466722,0,0,0.000,6.591,6.582,0.188,0.188,0.172,25.904,1327524
1782484466756,0,0,0.006,6.582,6.582,0.220,0.157,0.124,25.818,1327557
1782484466789,0,0,0.006,6.591,6.582,0.188,0.157,0.134,25.818,1327590
1782484466822,0,0,0.000,6.591,6.582,0.251,0.157,0.145,25.904,1327623
1782484466855,0,0,0.000,6.574,6.582,0.188,0.188,0.129,25.818,1327656
1782484466907,0,0,0.000,6.591,6.582,0.188,0.126,0.129,25.904,1327689
1782484466929,0,0,0.006,6.591,6.582,0.188,0.126,0.151,25.818,1327722
1782484466962,0,0,0.000,6.582,6.582,0.188,0.157,0.177,25.818,1327755
1782484466989,0,0,0.000,6.582,6.574,0.157,0.157,0.194,25.818,1327788
1782484467022,0,0,0.000,6.582,6.574,0.157,0.157,0.183,25.818,1327821
1782484467058,0,0,0.006,6.566,6.582,0.188,0.157,0.194,25.818,1327854
1782484467095,0,0,0.000,6.582,6.582,0.188,0.157,0.194,25.818,1327887
1782484467123,0,0,0.000,6.591,6.574,0.188,0.126,0.194,25.990,1327920
1782484467161,0,0,0.000,6.582,6.582,0.188,0.157,0.161,25.818,1327953
1782484467188,0,0,0.000,6.582,6.582,0.157,0.188,0.167,25.818,1327986
1782484467221,0,0,0.000,6.582,6.582,0.188,0.157,0.177,25.818,1328019
1782484467254,0,0,0.000,6.566,6.557,0.188,0.157,0.194,25.904,1328052
1782484467288,0,0,0.000,6.591,6.591,0.188,0.157,0.172,25.818,1328085
1782484467323,0,0,0.000,6.582,6.574,0.157,0.157,0.188,25.818,1328118
1782484467354,0,0,0.000,6.591,6.582,0.188,0.188,0.188,25.818,1328151
