t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782484322600,0,0,0.000,6.591,6.591,0.188,0.157,0.134,25.818,1184502
1782484322633,0,0,0.000,6.599,6.591,0.188,0.188,0.156,25.904,1184535
1782484322674,0,0,0.000,6.607,6.591,0.188,0.157,0.172,25.818,1184568
1782484322698,0,0,0.000,6.599,6.599,0.188,0.188,0.156,25.904,1184601
1782484322736,0,0,0.000,6.599,6.591,0.157,0.157,0.156,25.818,1184634
1782484322770,0,0,0.000,6.599,6.591,0.188,0.157,0.177,25.818,1184667
1782484322811,0,0,0.000,6.615,6.599,0.188,0.157,0.167,25.904,1184700
1782484322837,0,0,0.000,6.599,6.591,0.157,0.126,0.145,25.818,1184733
1782484322877,0,0,0.000,6.599,6.599,0.188,0.126,0.172,25.818,1184766
1782484322920,0,0,0.006,6.591,6.599,0.188,0.157,0.183,25.818,1184799
1782484322947,0,0,0.000,6.599,6.591,0.188,0.157,0.167,25.818,1184832
1782484322983,0,0,0.000,6.599,6.591,0.188,0.157,0.161,25.818,1184865
1782484323045,0,0,0.000,6.591,6.591,0.188,0.157,0.172,25.818,1184898
1782484323045,0,0,0.006,6.607,6.591,0.188,0.188,0.140,25.904,1184931
1782484323072,0,0,0.000,6.599,6.599,0.220,0.157,0.156,25.818,1184964
1782484323106,0,0,0.006,6.615,6.591,0.157,0.188,0.167,25.904,1184997
1782484323143,0,0,0.000,6.599,6.591,0.157,0.157,0.183,25.904,1185030
1782484323177,0,0,0.000,6.607,6.607,0.188,0.157,0.124,25.818,1185063
1782484323205,0,0,0.000,6.599,6.591,0.188,0.126,0.124,25.904,1185096
1782484323250,0,0,0.000,6.591,6.599,0.188,0.157,0.129,25.818,1185129
1782484323273,0,0,0.000,6.607,6.591,0.188,0.157,0.129,25.818,1185162
1782484323308,0,0,0.000,6.607,6.591,0.220,0.157,0.167,25.904,1185195
1782484323336,0,0,0.000,6.607,6.599,0.188,0.157,0.129,25.818,1185228
1782484323381,0,0,0.000,6.599,6.599,0.188,0.157,0.118,25.818,1185261
1782484323407,0,0,0.000,6.599,6.599,0.157,0.157,0.108,25.904,1185294
1782484323439,0,0,0.000,6.599,6.599,0.188,0.157,0.124,25.904,1185327
1782484323471,0,0,0.000,6.599,6.599,0.251,0.157,0.145,25.818,1185360
1782484323501,0,0,0.006,6.599,6.607,0.220,0.157,0.161,25.818,1185393
1782484323539,0,0,0.000,6.607,6.599,0.188,0.188,0.129,25.818,1185426
1782484323568,0,0,0.000,6.599,6.607,0.188,0.157,0.129,25.904,1185459
1782484323600,0,0,0.000,6.607,6.599,0.188,0.157,0.129,25.904,1185492
1782484323635,0,0,0.000,6.591,6.591,0.188,0.126,0.124,25.818,1185525
1782484323666,0,0,0.006,6.607,6.599,0.188,0.157,0.118,25.818,1185558
1782484323703,0,0,0.006,6.599,6.607,0.157,0.188,0.129,25.818,1185591
