t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1782481978951,0,0,0.006,6.632,6.615,0.188,0.157,0.156,25.818,162921
1782481978983,0,0,0.000,6.624,6.632,0.157,0.157,0.124,25.818,162954
1782481979018,0,0,0.000,6.632,6.615,0.188,0.157,0.167,25.731,162987
1782481979049,0,0,0.000,6.632,6.624,0.220,0.157,0.172,25.818,163020
1782481979082,0,0,0.000,6.632,6.624,0.157,0.188,0.161,25.818,163053
1782481979115,0,0,0.000,6.640,6.632,0.188,0.188,0.161,25.818,163086
1782481979149,0,0,0.000,6.640,6.624,0.220,0.126,0.161,25.731,163119
1782481979182,0,0,0.000,6.632,6.624,0.157,0.188,0.167,25.818,163152
1782481979216,0,0,0.000,6.632,6.624,0.188,0.126,0.172,25.818,163185
1782481979249,0,0,0.000,6.632,6.624,0.251,0.157,0.177,25.818,163218
1782481979281,0,0,0.000,6.632,6.615,0.188,0.157,0.183,25.818,163251
1782481979317,0,0,0.000,6.632,6.632,0.157,0.157,0.151,25.818,163284
1782481979348,0,0,0.000,6.640,6.632,0.157,0.157,0.172,25.818,163317
1782481979381,0,0,0.000,6.632,6.624,0.157,0.188,0.172,25.818,163350
1782481979415,0,0,0.000,6.624,6.632,0.188,0.188,0.151,25.818,163383
1782481979448,0,0,0.000,6.632,6.624,0.188,0.188,0.161,25.818,163416
1782481979481,0,0,0.000,6.632,6.624,0.220,0.188,0.204,25.818,163449
1782481979514,0,0,0.000,6.632,6.624,0.188,0.157,0.199,25.731,163482
1782481979548,0,0,0.000,6.632,6.624,0.188,0.157,0.210,25.731,163515
1782481979581,0,0,0.000,6.624,6.615,0.220,0.251,0.290,25.818,163548
1782481979614,0,0,0.012,6.640,6.624,0.188,0.188,0.199,25.818,163581
1782481979647,0,0,0.000,6.624,6.615,0.188,0.188,0.269,25.818,163614
1782481979680,0,0,0.000,6.640,6.624,0.188,0.188,0.199,25.818,163647
1782481979714,0,0,0.000,6.640,6.607,0.188,0.126,0.290,25.818,163680
1782481979747,0,0,0.000,6.624,6.624,0.157,0.157,0.204,25.818,163713
1782481979780,0,0,0.000,6.624,6.615,0.157,0.188,0.312,25.818,163746
1782481979813,0,0,0.000,6.632,6.624,0.188,0.220,0.215,25.818,163779
1782481979846,0,0,0.000,6.624,6.615,0.188,0.188,0.333,25.818,163812
1782481979879,0,0,0.006,6.632,6.624,0.188,0.157,0.247,25.818,163845
1782481979917,0,0,0.000,6.624,6.624,0.188,0.157,0.210,25.818,163878
1782481979946,0,0,0.006,6.632,6.624,0.251,0.157,0.231,25.731,163911
1782481979979,0,0,0.000,6.632,6.624,0.220,0.126,0.210,25.818,163944
1782481980016,0,0,0.000,6.632,6.624,0.188,0.157,0.220,25.818,163977
1782481980046,0,0,0.000,6.624,6.615,0.157,0.220,0.306,25.818,164010
1782481980080,0,0,0.000,6.624,6.624,0.188,0.157,0.215,25.818,164043
1782481980118,0,0,0.000,6.624,6.624,0.188,0.188,0.242,25.818,164076
1782481980145,0,0,0.000,6.624,6.615,0.188,0.157,0.317,25.818,164109
1782481980179,0,0,0.000,6.615,6.624,0.188,0.157,0.226,25.818,164142
1782481980212,0,0,0.000,6.624,6.615,0.157,0.188,0.237,25.818,164175
1782481980246,0,0,0.006,6.632,6.615,0.188,0.188,0.199,25.818,164208
1782481980278,0,0,0.000,6.615,6.624,0.188,0.157,0.231,25.731,164241
1782481980312,0,0,0.006,6.632,6.615,0.188,0.188,0.226,25.818,164274
1782481980346,0,0,0.000,6.615,6.615,0.188,0.157,0.199,25.818,164307
1782481980380,0,0,0.000,6.624,6.624,0.126,0.126,0.210,25.731,164340
1782481980412,0,0,0.000,6.624,6.624,0.188,0.157,0.226,25.818,164373
1782481980445,0,0,0.000,6.624,6.624,0.188,0.157,0.199,25.818,164406
1782481980480,0,0,0.000,6.624,6.624,0.188,0.157,0.204,25.818,164439
1782481980511,0,0,0.000,6.615,6.607,0.188,0.157,0.371,25.818,164472
1782481980547,0,0,0.000,6.624,6.624,0.188,0.157,0.204,25.818,164505
1782481980578,0,0,0.000,6.624,6.624,0.157,0.157,0.215,25.818,164538
1782481980611,0,0,0.000,6.632,6.624,0.157,0.157,0.226,25.818,164571
1782481980648,0,0,0.000,6.624,6.615,0.188,0.188,0.204,25.818,164604
1782481980678,0,0,0.006,6.624,6.624,0.188,0.157,0.226,25.818,164637
1782481980711,0,0,0.000,6.624,6.624,0.188,0.157,0.199,25.731,164670
1782481980745,0,0,0.000,6.632,6.615,0.220,0.126,0.204,25.818,164703
1782481980777,0,0,0.000,6.624,6.624,0.157,0.157,0.210,25.818,164736
1782481980810,0,0,0.000,6.632,6.624,0.188,0.188,0.199,25.731,164769
1782481980844,0,0,0.000,6.624,6.632,0.188,0.188,0.258,25.818,164802
1782481980880,0,0,0.000,6.624,6.624,0.188,0.157,0.199,25.731,164835
1782481980910,0,0,0.000,6.624,6.624,0.157,0.157,0.242,25.818,164868
1782481980943,0,0,0.000,6.624,6.624,0.188,0.157,0.204,25.818,164901
1782481980978,0,0,0.000,6.632,6.624,0.188,0.157,0.226,25.818,164934
1782481981010,0,0,0.000,6.632,6.615,0.188,0.157,0.215,25.818,164967
1782481981046,0,0,0.006,6.632,6.624,0.188,0.157,0.215,25.818,165000
1782481981077,0,0,0.006,6.632,6.624,0.188,0.157,0.215,25.731,165033
1782481981109,0,0,0.000,6.624,6.632,0.188,0.126,0.188,25.818,165066
1782481981144,0,0,0.000,6.624,6.607,0.188,0.157,0.220,25.818,165099
1782481981179,0,0,0.000,6.624,6.615,0.188,0.157,0.210,25.818,165132
1782481981210,0,0,0.000,6.624,6.624,0.188,0.126,0.215,25.818,165165
1782481981245,0,0,0.006,6.624,6.615,0.251,0.157,0.210,25.818,165198
1782481981277,0,0,0.000,6.624,6.615,0.188,0.126,0.199,25.818,165231
1782481981312,0,0,0.000,6.624,6.632,0.188,0.157,0.194,25.731,165264
1782481981348,0,0,0.000,6.624,6.632,0.220,0.157,0.237,25.818,165297
1782481981377,0,0,0.000,6.624,6.632,0.188,0.126,0.199,25.818,165330
1782481981409,0,0,0.000,6.624,6.624,0.126,0.157,0.204,25.731,165363
1782481981449,0,0,0.000,6.615,6.624,0.157,0.157,0.237,25.818,165396
1782481981475,0,0,0.006,6.607,6.615,0.188,0.157,0.344,25.818,165429
1782481981509,0,0,0.000,6.624,6.624,0.157,0.188,0.204,25.818,165462
1782481981542,0,0,0.000,6.624,6.615,0.188,0.157,0.231,25.731,165495
1782481981575,0,0,0.000,6.624,6.615,0.220,0.157,0.204,25.731,165528
1782481981609,0,0,0.000,6.615,6.624,0.188,0.157,0.204,25.818,165561
1782481981642,0,0,0.000,6.624,6.624,0.188,0.157,0.215,25.731,165594
1782481981676,0,0,0.000,6.624,6.615,0.188,0.157,0.220,25.818,165627
1782481981708,0,0,0.000,6.624,6.615,0.188,0.126,0.242,25.731,165660
1782481981742,0,0,0.000,6.632,6.624,0.188,0.157,0.280,25.818,165693
1782481981776,0,0,0.000,6.624,6.624,0.188,0.157,0.204,25.818,165726
1782481981808,0,0,0.000,6.624,6.624,0.188,0.157,0.231,25.818,165759
1782481981855,0,0,0.000,6.615,6.624,0.188,0.157,0.210,25.731,165792
1782481981878,0,0,0.000,6.624,6.624,0.188,0.157,0.199,25.818,165825
1782481981910,0,0,0.000,6.615,6.607,0.157,0.157,0.210,25.818,165858
1782481981941,0,0,0.012,6.632,6.615,0.157,0.188,0.204,25.731,165891
1782481981974,0,0,0.000,6.624,6.615,0.188,0.157,0.285,25.731,165924
1782481982008,0,0,0.000,6.615,6.615,0.188,0.157,0.349,25.818,165957
1782481982050,0,0,0.000,6.632,6.624,0.157,0.126,0.199,25.731,165990
1782481982092,0,0,0.000,6.615,6.615,0.188,0.157,0.204,25.818,166023
1782481982107,0,0,0.000,6.624,6.615,0.188,0.157,0.204,25.818,166056
1782481982141,0,0,0.000,6.624,6.615,0.188,0.157,0.269,25.818,166089
1782481982174,0,0,0.000,6.632,6.624,0.188,0.188,0.226,25.731,166122
1782481982208,0,0,0.000,6.632,6.624,0.126,0.220,0.199,25.818,166155
1782481982240,0,0,0.000,6.632,6.615,0.188,0.157,0.210,25.818,166188
1782481982287,0,0,0.000,6.624,6.624,0.188,0.157,0.204,25.731,166221
1782481982315,0,0,0.006,6.624,6.624,0.188,0.157,0.226,25.818,166254
1782481982350,0,0,0.000,6.632,6.607,0.188,0.188,0.220,25.818,166287
1782481982382,0,0,0.000,6.624,6.615,0.157,0.157,0.226,25.818,166320
1782481982415,0,0,0.000,6.624,6.615,0.188,0.157,0.231,25.818,166353
1782481982448,0,0,0.000,6.624,6.624,0.188,0.188,0.210,25.731,166386
1782481982482,0,0,0.006,6.624,6.607,0.220,0.126,0.210,25.818,166419
1782481982515,0,0,0.000,6.615,6.615,0.188,0.157,0.231,25.731,166452
1782481982557,0,0,0.000,6.615,6.615,0.188,0.126,0.258,25.818,166485
1782481982580,0,0,0.000,6.632,6.624,0.157,0.157,0.199,25.818,166518
1782481982612,0,0,0.000,6.624,6.615,0.188,0.157,0.215,25.818,166551
1782481982646,0,0,0.000,6.624,6.615,0.157,0.157,0.280,25.818,166584
1782481982681,0,0,0.000,6.624,6.624,0.220,0.126,0.237,25.818,166617
